genus,Species,Local_Label,decimalLongitude,decimalLatitude,Refs,country,continent,realm,country_level_record
Alcaeorrhynchus,Alcaeorrhynchus grandis,"ARGENTINA:  Buenos Aires, La Plata",-57.95,-34.92,Dellape et al 2003,Argentina,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,ARGENTINA:  Chaco. Coll. Ohnneiser,-59.02,-27.42,NMPC,Argentina,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"ARGENTINA:  Corrientes, San Roque",-68.76,-28.66,Dellape et al 2003,Argentina,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"ARGENTINA:  Entre Ríos, Concordia",-58.02,-31.39,Dellape et al 2003,Argentina,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"ARGENTINA:  Misiones, Pindapoi",-55.8,-27.47,Dellape et al 2003,Argentina,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"ARGENTINA:  Santiago del Estero, Río Saladillo",-63.39,-29.07,Dellape et al 2003,Argentina,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"ARGENTINA: Santa Fé, Piquete",-60.71,-31.56,Dellape et al 2003,Argentina,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BOLIVIA:  Santa Cruz, La Concepción",-62.99,-17.75,Dellape et al 2003,Bolivia,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Amazonas, Barcelos, próximo ao rio Unini. ",-61.33,-1.38,INPA,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Amazonas, Maués, Rio Abacaxis, Flona Pau Rosa. 35m",-58.41,-5.15,INPA,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Amazonas, Parque Nacional do Jaú, Igarapé Miracutu.",-61.49,-1.57,INPA,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Amazonas, Rio Abacaxis, Campina Pacamiri",-58.13,-4.35,INPA,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Amazonas, Rio Nhamundá, Cuipiranga",-57.02,-1.53,INPA,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Bahia, Itajibá",-39.84,-14.28,UFRG,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,BRAZIL: Espírito Santo,-40.75,-20,Dellape et al 2003,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Espírito Santo, Linhares.",-40.06,-19.39,DZUP,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Goiás, Niquelândia",-48.462,-14.4721,MZSP,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Maranhão, São Luís",-44.28,-2.53,UFRG,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Mato Grosso, Porto Esperidião, XI-1984",-58.46,-15.85,INPA,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Mato Grosso, São Domingos",-59.0678,-15.2895,MZSP,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Mato Grosso, Trivelato, próximo ao Rio Aripuanã. 800m. ",-59.28,-10.25,INPA,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Minas Gerais, Caoté",-43.65,-19.87,Zanuncio et al 2009,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Minas Gerais, Marliéria, Parque Estadual do Rio Doce",-42.53,-19.64,BHMH,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Minas Gerais, Presidente Olegário",-46.42,-18.41,UFRG,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Minas Gerais, Turmalina",-42.72,-17.28,UFRG,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Pará, Mato Grosso",-53,-4,Dellape et al 2003,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Pará, Tailândia",-48.75,-2.87,Ribeiro et al 2010,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Paraíba, Coremas",-37.9464,-7.016,MZSP,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Paraná, Fênix",-51.98,-23.91,DZUP,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Parana, Londrina",-51.16,-23.31,Grande & Rando 2018,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Piauí, Piracuruca, Parque Nacional de Sete Cidades, Cachoeira do Riacho, 171m",-41.71,-4.09,UFRJ,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Piauí, Teresina",-42.8,-5.08,Sousa et al 2016,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Porto Estrela, XI 1984 MT. Magn & Alvarenga",-57.22778,-15.32389,INPA,Brazil,South America,Neotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"BRAZIL: Rio de Janeiro, Paraty, Praia do Sono",-44.62,-23.33,UFRJ,Brazil,South America,Neotropic,No
